workorderid,productid,orderqty,scrappedqty,startdate,enddate,duedate,scrapreasonid,modifieddate
37,777,23,0,06/03/11,06/19/11,06/14/11,94,06/19/11
38,778,20,0,06/03/11,06/19/11,06/14/11,52,06/19/11
39,516,120,0,06/03/11,06/19/11,06/14/11,89,06/19/11
40,517,224,0,06/03/11,06/19/11,06/14/11,12,06/19/11
41,518,98,1,06/03/11,06/19/11,06/14/11,75,06/19/11
42,519,18,0,06/03/11,06/19/11,06/14/11,98,06/19/11
43,717,4,0,06/03/11,06/13/11,06/14/11,120,06/13/11
44,721,14,0,06/03/11,06/13/11,06/14/11,120,06/13/11
45,722,30,0,06/03/11,06/13/11,06/14/11,72,06/13/11
46,723,11,0,06/03/11,06/13/11,06/14/11,12,06/13/11
47,724,1,0,06/03/11,06/13/11,06/14/11,105,06/13/11
48,725,44,0,06/03/11,06/13/11,06/14/11,78,06/13/11
49,726,20,0,06/03/11,06/13/11,06/14/11,40,06/13/11
50,727,14,0,06/03/11,06/13/11,06/14/11,52,06/13/11
51,729,43,0,06/03/11,06/13/11,06/14/11,25,06/13/11
52,730,19,0,06/03/11,06/13/11,06/14/11,100,06/13/11
53,731,14,0,06/03/11,06/13/11,06/14/11,60,06/13/11
54,733,46,0,06/03/11,06/13/11,06/14/11,2,06/13/11
55,734,27,0,06/03/11,06/13/11,06/14/11,45,06/13/11
56,735,11,0,06/03/11,06/13/11,06/14/11,109,06/13/11
57,736,13,0,06/03/11,06/13/11,06/14/11,37,06/13/11
58,738,29,0,06/03/11,06/13/11,06/14/11,17,06/13/11
59,739,5,0,06/03/11,06/13/11,06/14/11,9,06/13/11
60,740,17,0,06/03/11,06/13/11,06/14/11,29,06/13/11
61,741,7,0,06/03/11,06/13/11,06/14/11,90,06/13/11
62,743,16,0,06/03/11,06/13/11,06/14/11,72,06/13/11
63,744,23,0,06/03/11,06/13/11,06/14/11,62,06/13/11
64,745,20,0,06/03/11,06/13/11,06/14/11,28,06/13/11
65,747,22,0,06/03/11,06/19/11,06/14/11,7,06/19/11
66,748,10,0,06/03/11,06/19/11,06/14/11,18,06/19/11
67,806,322,0,06/03/11,06/19/11,06/14/11,54,06/19/11
68,807,138,0,06/03/11,06/19/11,06/14/11,68,06/19/11
69,810,120,3,06/03/11,06/19/11,06/14/11,7,06/19/11
70,811,224,0,06/03/11,06/19/11,06/14/11,55,06/19/11
71,812,98,0,06/03/11,06/19/11,06/14/11,19,06/19/11
72,813,18,0,06/03/11,06/19/11,06/14/11,99,06/19/11
73,817,120,0,06/03/11,06/19/11,06/14/11,84,06/19/11
74,818,224,0,06/03/11,06/19/11,06/14/11,79,06/19/11
75,819,98,0,06/03/11,06/19/11,06/14/11,92,06/19/11
76,820,18,0,06/03/11,06/19/11,06/14/11,31,06/19/11
77,825,120,0,06/03/11,06/19/11,06/14/11,60,06/19/11
78,826,224,0,06/03/11,06/19/11,06/14/11,94,06/19/11
79,827,98,0,06/03/11,06/19/11,06/14/11,94,06/19/11
80,828,18,0,06/03/11,06/19/11,06/14/11,35,06/19/11
81,894,460,0,06/03/11,06/19/11,06/14/11,106,06/19/11
82,945,460,0,06/03/11,06/19/11,06/14/11,13,06/19/11
83,950,322,0,06/03/11,06/19/11,06/14/11,8,06/19/11
84,951,138,0,06/03/11,06/19/11,06/14/11,56,06/19/11
85,994,224,4,06/03/11,06/19/11,06/14/11,10,06/19/11
86,995,98,0,06/03/11,06/19/11,06/14/11,89,06/19/11
87,996,138,0,06/03/11,06/19/11,06/14/11,85,06/19/11
88,3,4600,0,06/03/11,06/13/11,06/14/11,84,06/13/11
89,324,1148,0,06/03/11,06/13/11,06/14/11,12,06/13/11
90,327,574,0,06/03/11,06/13/11,06/14/11,9,06/13/11
91,328,240,4,06/03/11,06/13/11,06/14/11,92,06/13/11
92,329,680,0,06/03/11,06/13/11,06/14/11,49,06/13/11
93,398,460,0,06/03/11,06/13/11,06/14/11,52,06/13/11
94,399,574,0,06/03/11,06/13/11,06/14/11,107,06/13/11
95,400,448,0,06/03/11,06/13/11,06/14/11,2,06/13/11
96,401,472,0,06/03/11,06/13/11,06/14/11,101,06/13/11
97,529,460,0,06/03/11,06/13/11,06/14/11,14,06/13/11
98,532,2296,0,06/03/11,06/13/11,06/14/11,0,06/13/11
99,533,574,0,06/03/11,06/13/11,06/14/11,37,06/13/11
100,534,574,0,06/03/11,06/13/11,06/14/11,112,06/13/11
101,802,305,0,06/03/11,06/19/11,06/14/11,114,06/19/11
102,803,118,0,06/03/11,06/19/11,06/14/11,115,06/19/11
103,804,151,0,06/03/11,06/19/11,06/14/11,28,06/19/11
104,316,1148,0,06/03/11,06/13/11,06/14/11,101,06/13/11
105,331,1148,0,06/03/11,06/13/11,06/14/11,5,06/13/11
106,350,574,0,06/03/11,06/13/11,06/14/11,119,06/13/11
107,531,574,0,06/03/11,06/13/11,06/14/11,58,06/13/11
108,749,1,0,06/04/11,06/15/11,06/15/11,20,06/15/11
109,750,1,0,06/04/11,06/15/11,06/15/11,46,06/15/11
110,771,1,0,06/04/11,06/15/11,06/15/11,31,06/15/11
111,778,1,0,06/04/11,06/15/11,06/15/11,22,06/15/11
112,516,2,0,06/04/11,06/15/11,06/15/11,31,06/15/11
113,519,2,0,06/04/11,06/15/11,06/15/11,118,06/15/11
114,717,1,0,06/04/11,06/14/11,06/15/11,57,06/14/11
115,718,1,0,06/04/11,06/14/11,06/15/11,69,06/14/11
116,745,1,0,06/04/11,06/14/11,06/15/11,95,06/14/11
117,748,1,0,06/04/11,06/15/11,06/15/11,17,06/15/11
118,807,4,0,06/04/11,06/15/11,06/15/11,99,06/15/11
119,810,2,0,06/04/11,06/15/11,06/15/11,27,06/15/11
120,813,2,0,06/04/11,06/15/11,06/15/11,105,06/15/11
121,817,2,0,06/04/11,06/15/11,06/15/11,92,06/15/11
122,820,2,0,06/04/11,06/15/11,06/15/11,116,06/15/11
123,825,2,0,06/04/11,06/15/11,06/15/11,16,06/15/11
124,828,2,0,06/04/11,06/15/11,06/15/11,35,06/15/11
125,894,4,0,06/04/11,06/15/11,06/15/11,1,06/15/11
126,945,4,0,06/04/11,06/15/11,06/15/11,28,06/15/11
127,951,4,0,06/04/11,06/15/11,06/15/11,86,06/15/11
128,996,4,0,06/04/11,06/15/11,06/15/11,111,06/15/11
129,3,40,0,06/04/11,06/14/11,06/15/11,106,06/14/11
130,324,8,0,06/04/11,06/14/11,06/15/11,62,06/14/11
131,327,4,0,06/04/11,06/14/11,06/15/11,119,06/14/11
132,328,4,0,06/04/11,06/14/11,06/15/11,117,06/14/11
133,329,4,0,06/04/11,06/14/11,06/15/11,29,06/14/11
134,398,4,0,06/04/11,06/14/11,06/15/11,73,06/14/11
135,399,4,0,06/04/11,06/14/11,06/15/11,86,06/14/11
136,401,8,0,06/04/11,06/14/11,06/15/11,38,06/14/11
137,529,4,0,06/04/11,06/14/11,06/15/11,14,06/14/11
138,532,16,0,06/04/11,06/14/11,06/15/11,105,06/14/11
139,533,4,0,06/04/11,06/14/11,06/15/11,114,06/14/11
140,534,4,0,06/04/11,06/14/11,06/15/11,102,06/14/11
141,804,4,0,06/04/11,06/15/11,06/15/11,57,06/15/11
142,316,8,0,06/04/11,06/14/11,06/15/11,87,06/14/11
143,331,8,0,06/04/11,06/14/11,06/15/11,33,06/14/11
144,350,4,0,06/04/11,06/14/11,06/15/11,95,06/14/11
145,531,4,0,06/04/11,06/14/11,06/15/11,11,06/14/11
146,751,2,0,06/05/11,06/23/11,06/16/11,106,06/23/11
147,752,1,0,06/05/11,06/23/11,06/16/11,49,06/23/11
148,753,1,0,06/05/11,06/23/11,06/16/11,44,06/23/11
149,764,1,0,06/05/11,06/23/11,06/16/11,120,06/23/11
150,517,1,0,06/05/11,06/23/11,06/16/11,108,06/23/11
151,519,4,0,06/05/11,06/23/11,06/16/11,31,06/23/11
152,719,2,0,06/05/11,06/15/11,06/16/11,83,06/15/11
153,720,1,0,06/05/11,06/15/11,06/16/11,98,06/15/11
154,721,1,0,06/05/11,06/15/11,06/16/11,47,06/15/11
155,727,1,0,06/05/11,06/15/11,06/16/11,82,06/15/11
156,806,1,0,06/05/11,06/23/11,06/16/11,108,06/23/11
157,807,4,0,06/05/11,06/23/11,06/16/11,19,06/23/11
158,811,1,0,06/05/11,06/23/11,06/16/11,74,06/23/11
159,813,4,0,06/05/11,06/23/11,06/16/11,43,06/23/11
160,818,1,0,06/05/11,06/23/11,06/16/11,104,06/23/11
161,820,4,0,06/05/11,06/23/11,06/16/11,53,06/23/11
162,826,1,0,06/05/11,06/23/11,06/16/11,68,06/23/11
163,828,4,0,06/05/11,06/23/11,06/16/11,90,06/23/11
164,894,5,0,06/05/11,06/23/11,06/16/11,0,06/23/11
165,945,5,0,06/05/11,06/23/11,06/16/11,15,06/23/11
166,950,1,0,06/05/11,06/23/11,06/16/11,14,06/23/11
167,951,4,0,06/05/11,06/23/11,06/16/11,57,06/23/11
168,994,1,0,06/05/11,06/23/11,06/16/11,107,06/23/11
169,996,4,0,06/05/11,06/23/11,06/16/11,2,06/23/11
170,3,50,0,06/05/11,06/15/11,06/16/11,71,06/15/11
171,324,10,0,06/05/11,06/15/11,06/16/11,39,06/15/11
172,327,5,0,06/05/11,06/15/11,06/16/11,10,06/15/11
173,329,10,0,06/05/11,06/15/11,06/16/11,40,06/15/11
174,398,5,0,06/05/11,06/15/11,06/16/11,104,06/15/11
175,399,5,0,06/05/11,06/15/11,06/16/11,28,06/15/11
176,400,2,0,06/05/11,06/15/11,06/16/11,2,06/15/11
177,401,8,0,06/05/11,06/15/11,06/16/11,12,06/15/11
178,529,5,0,06/05/11,06/15/11,06/16/11,120,06/15/11
179,532,20,0,06/05/11,06/15/11,06/16/11,108,06/15/11
180,533,5,0,06/05/11,06/15/11,06/16/11,118,06/15/11
181,534,5,0,06/05/11,06/15/11,06/16/11,116,06/15/11
182,802,1,0,06/05/11,06/23/11,06/16/11,102,06/23/11
183,804,4,0,06/05/11,06/23/11,06/16/11,110,06/23/11
184,316,10,0,06/05/11,06/15/11,06/16/11,33,06/15/11
185,331,10,0,06/05/11,06/15/11,06/16/11,39,06/15/11
186,350,5,0,06/05/11,06/15/11,06/16/11,40,06/15/11
187,531,5,0,06/05/11,06/15/11,06/16/11,0,06/15/11
188,750,1,0,06/06/11,06/17/11,06/17/11,73,06/17/11
189,753,1,0,06/06/11,06/17/11,06/17/11,118,06/17/11
190,519,2,0,06/06/11,06/17/11,06/17/11,36,06/17/11
191,718,1,0,06/06/11,06/16/11,06/17/11,4,06/16/11
192,721,1,0,06/06/11,06/16/11,06/17/11,81,06/16/11
193,807,2,0,06/06/11,06/17/11,06/17/11,80,06/17/11
194,813,2,0,06/06/11,06/17/11,06/17/11,30,06/17/11
195,820,2,0,06/06/11,06/17/11,06/17/11,59,06/17/11
196,828,2,0,06/06/11,06/17/11,06/17/11,42,06/17/11
197,894,2,0,06/06/11,06/17/11,06/17/11,53,06/17/11
198,945,2,0,06/06/11,06/17/11,06/17/11,12,06/17/11
199,951,2,0,06/06/11,06/17/11,06/17/11,11,06/17/11
200,996,2,0,06/06/11,06/17/11,06/17/11,1,06/17/11
201,3,20,0,06/06/11,06/16/11,06/17/11,57,06/16/11
202,324,4,0,06/06/11,06/16/11,06/17/11,119,06/16/11
203,327,2,0,06/06/11,06/16/11,06/17/11,39,06/16/11
204,329,4,0,06/06/11,06/16/11,06/17/11,67,06/16/11
205,398,2,0,06/06/11,06/16/11,06/17/11,89,06/16/11
206,399,2,0,06/06/11,06/16/11,06/17/11,112,06/16/11
207,401,4,0,06/06/11,06/16/11,06/17/11,112,06/16/11
208,529,2,0,06/06/11,06/16/11,06/17/11,101,06/16/11
209,532,8,0,06/06/11,06/16/11,06/17/11,25,06/16/11
210,533,2,0,06/06/11,06/16/11,06/17/11,88,06/16/11
211,534,2,0,06/06/11,06/16/11,06/17/11,68,06/16/11
212,804,2,0,06/06/11,06/17/11,06/17/11,119,06/17/11
213,316,4,0,06/06/11,06/16/11,06/17/11,93,06/16/11
214,331,4,0,06/06/11,06/16/11,06/17/11,0,06/16/11
215,350,2,0,06/06/11,06/16/11,06/17/11,24,06/16/11
216,531,2,0,06/06/11,06/16/11,06/17/11,92,06/16/11
217,749,1,0,06/07/11,06/27/11,06/18/11,113,06/27/11
218,750,2,0,06/07/11,06/27/11,06/18/11,15,06/27/11
219,753,1,0,06/07/11,06/27/11,06/18/11,49,06/27/11
220,767,1,0,06/07/11,06/27/11,06/18/11,46,06/27/11
221,517,1,0,06/07/11,06/27/11,06/18/11,96,06/27/11
222,519,4,0,06/07/11,06/27/11,06/18/11,41,06/27/11
223,717,1,0,06/07/11,06/17/11,06/18/11,69,06/17/11
224,718,2,0,06/07/11,06/17/11,06/18/11,89,06/17/11
225,721,1,0,06/07/11,06/17/11,06/18/11,59,06/17/11
226,724,1,0,06/07/11,06/17/11,06/18/11,3,06/17/11
227,806,1,0,06/07/11,06/27/11,06/18/11,11,06/27/11
228,807,4,0,06/07/11,06/27/11,06/18/11,71,06/27/11
229,811,1,0,06/07/11,06/27/11,06/18/11,22,06/27/11
230,813,4,0,06/07/11,06/27/11,06/18/11,94,06/27/11
231,818,1,0,06/07/11,06/27/11,06/18/11,14,06/27/11
232,820,4,0,06/07/11,06/27/11,06/18/11,118,06/27/11
233,826,1,0,06/07/11,06/27/11,06/18/11,51,06/27/11
234,828,4,0,06/07/11,06/27/11,06/18/11,118,06/27/11
235,894,5,0,06/07/11,06/27/11,06/18/11,90,06/27/11
236,945,5,0,06/07/11,06/27/11,06/18/11,90,06/27/11
237,950,1,0,06/07/11,06/27/11,06/18/11,7,06/27/11
238,951,4,0,06/07/11,06/27/11,06/18/11,9,06/27/11
239,994,1,0,06/07/11,06/27/11,06/18/11,36,06/27/11
240,996,4,0,06/07/11,06/27/11,06/18/11,53,06/27/11
241,3,50,0,06/07/11,06/17/11,06/18/11,104,06/17/11
242,324,10,0,06/07/11,06/17/11,06/18/11,62,06/17/11
243,327,5,0,06/07/11,06/17/11,06/18/11,22,06/17/11
244,329,10,0,06/07/11,06/17/11,06/18/11,19,06/17/11
245,398,5,0,06/07/11,06/17/11,06/18/11,80,06/17/11
246,399,5,0,06/07/11,06/17/11,06/18/11,72,06/17/11
247,400,2,0,06/07/11,06/17/11,06/18/11,12,06/17/11
248,401,8,0,06/07/11,06/17/11,06/18/11,68,06/17/11
249,529,5,0,06/07/11,06/17/11,06/18/11,22,06/17/11
250,532,20,0,06/07/11,06/17/11,06/18/11,4,06/17/11
251,533,5,0,06/07/11,06/17/11,06/18/11,99,06/17/11
252,534,5,0,06/07/11,06/17/11,06/18/11,0,06/17/11
253,802,1,0,06/07/11,06/27/11,06/18/11,49,06/27/11
254,804,4,0,06/07/11,06/27/11,06/18/11,86,06/27/11
255,316,10,0,06/07/11,06/17/11,06/18/11,74,06/17/11
256,331,10,0,06/07/11,06/17/11,06/18/11,99,06/17/11
257,350,5,0,06/07/11,06/17/11,06/18/11,60,06/17/11
258,531,5,0,06/07/11,06/17/11,06/18/11,83,06/17/11
259,749,1,0,06/08/11,06/19/11,06/19/11,64,06/19/11
260,750,2,0,06/08/11,06/19/11,06/19/11,27,06/19/11
261,751,1,0,06/08/11,06/19/11,06/19/11,56,06/19/11
262,519,4,0,06/08/11,06/19/11,06/19/11,114,06/19/11
263,717,1,0,06/08/11,06/18/11,06/19/11,2,06/18/11
264,718,2,0,06/08/11,06/18/11,06/19/11,36,06/18/11
265,719,1,0,06/08/11,06/18/11,06/19/11,52,06/18/11
266,807,4,0,06/08/11,06/19/11,06/19/11,116,06/19/11
267,813,4,0,06/08/11,06/19/11,06/19/11,64,06/19/11
268,820,4,0,06/08/11,06/19/11,06/19/11,66,06/19/11
269,828,4,0,06/08/11,06/19/11,06/19/11,96,06/19/11
270,894,4,0,06/08/11,06/19/11,06/19/11,50,06/19/11
271,945,4,0,06/08/11,06/19/11,06/19/11,26,06/19/11
272,951,4,0,06/08/11,06/19/11,06/19/11,105,06/19/11
273,996,4,0,06/08/11,06/19/11,06/19/11,60,06/19/11
274,3,40,0,06/08/11,06/18/11,06/19/11,107,06/18/11
275,324,8,0,06/08/11,06/18/11,06/19/11,39,06/18/11
276,327,4,0,06/08/11,06/18/11,06/19/11,11,06/18/11
277,329,8,0,06/08/11,06/18/11,06/19/11,46,06/18/11
278,398,4,0,06/08/11,06/18/11,06/19/11,114,06/18/11
279,399,4,0,06/08/11,06/18/11,06/19/11,51,06/18/11
280,401,8,0,06/08/11,06/18/11,06/19/11,12,06/18/11
281,529,4,0,06/08/11,06/18/11,06/19/11,76,06/18/11
282,532,16,0,06/08/11,06/18/11,06/19/11,53,06/18/11
283,533,4,0,06/08/11,06/18/11,06/19/11,76,06/18/11
284,534,4,0,06/08/11,06/18/11,06/19/11,62,06/18/11
285,804,4,0,06/08/11,06/19/11,06/19/11,5,06/19/11
286,316,8,0,06/08/11,06/18/11,06/19/11,12,06/18/11
287,331,8,0,06/08/11,06/18/11,06/19/11,85,06/18/11
288,350,4,0,06/08/11,06/18/11,06/19/11,27,06/18/11
289,531,4,0,06/08/11,06/18/11,06/19/11,109,06/18/11
290,750,1,0,06/09/11,07/01/11,06/20/11,23,07/01/11
291,751,1,0,06/09/11,07/01/11,06/20/11,20,07/01/11
292,765,1,0,06/09/11,07/01/11,06/20/11,55,07/01/11
293,517,1,0,06/09/11,07/01/11,06/20/11,12,07/01/11
294,519,2,0,06/09/11,07/01/11,06/20/11,36,07/01/11
295,718,1,0,06/09/11,06/19/11,06/20/11,33,06/19/11
296,719,1,0,06/09/11,06/19/11,06/20/11,91,06/19/11
297,722,1,0,06/09/11,06/19/11,06/20/11,4,06/19/11
298,806,1,0,06/09/11,07/01/11,06/20/11,59,07/01/11
299,807,2,0,06/09/11,07/01/11,06/20/11,120,07/01/11
300,811,1,0,06/09/11,07/01/11,06/20/11,115,07/01/11
301,813,2,0,06/09/11,07/01/11,06/20/11,59,07/01/11
302,818,1,0,06/09/11,07/01/11,06/20/11,51,07/01/11
303,820,2,0,06/09/11,07/01/11,06/20/11,6,07/01/11
304,826,1,0,06/09/11,07/01/11,06/20/11,96,07/01/11
305,828,2,0,06/09/11,07/01/11,06/20/11,15,07/01/11
306,894,3,0,06/09/11,07/01/11,06/20/11,41,07/01/11
307,945,3,0,06/09/11,07/01/11,06/20/11,0,07/01/11
308,950,1,0,06/09/11,07/01/11,06/20/11,91,07/01/11
309,951,2,0,06/09/11,07/01/11,06/20/11,67,07/01/11
310,994,1,0,06/09/11,07/01/11,06/20/11,31,07/01/11
311,996,2,0,06/09/11,07/01/11,06/20/11,93,07/01/11
312,3,30,0,06/09/11,06/19/11,06/20/11,56,06/19/11
313,324,6,0,06/09/11,06/19/11,06/20/11,9,06/19/11
314,327,3,0,06/09/11,06/19/11,06/20/11,49,06/19/11
315,329,6,0,06/09/11,06/19/11,06/20/11,70,06/19/11
316,398,3,0,06/09/11,06/19/11,06/20/11,80,06/19/11
317,399,3,0,06/09/11,06/19/11,06/20/11,113,06/19/11
318,400,2,0,06/09/11,06/19/11,06/20/11,35,06/19/11
319,401,4,0,06/09/11,06/19/11,06/20/11,112,06/19/11
320,529,3,0,06/09/11,06/19/11,06/20/11,70,06/19/11
321,532,12,0,06/09/11,06/19/11,06/20/11,48,06/19/11
322,533,3,0,06/09/11,06/19/11,06/20/11,13,06/19/11
323,534,3,0,06/09/11,06/19/11,06/20/11,107,06/19/11
324,802,1,0,06/09/11,07/01/11,06/20/11,40,07/01/11
325,804,2,0,06/09/11,07/01/11,06/20/11,115,07/01/11
326,316,6,0,06/09/11,06/19/11,06/20/11,17,06/19/11
327,331,6,0,06/09/11,06/19/11,06/20/11,13,06/19/11
328,350,3,0,06/09/11,06/19/11,06/20/11,98,06/19/11
329,531,3,0,06/09/11,06/19/11,06/20/11,65,06/19/11
330,750,2,0,06/10/11,06/21/11,06/21/11,0,06/21/11
331,765,1,0,06/10/11,06/21/11,06/21/11,31,06/21/11
332,517,1,0,06/10/11,06/21/11,06/21/11,82,06/21/11
333,519,2,0,06/10/11,06/21/11,06/21/11,43,06/21/11
334,718,2,0,06/10/11,06/20/11,06/21/11,12,06/20/11
335,722,1,0,06/10/11,06/20/11,06/21/11,34,06/20/11
336,806,1,0,06/10/11,06/21/11,06/21/11,16,06/21/11
337,807,2,0,06/10/11,06/21/11,06/21/11,68,06/21/11
338,811,1,0,06/10/11,06/21/11,06/21/11,89,06/21/11
339,813,2,0,06/10/11,06/21/11,06/21/11,63,06/21/11
340,818,1,0,06/10/11,06/21/11,06/21/11,24,06/21/11
341,820,2,0,06/10/11,06/21/11,06/21/11,17,06/21/11
342,826,1,0,06/10/11,06/21/11,06/21/11,51,06/21/11
343,828,2,0,06/10/11,06/21/11,06/21/11,110,06/21/11
344,894,3,0,06/10/11,06/21/11,06/21/11,79,06/21/11
345,945,3,0,06/10/11,06/21/11,06/21/11,50,06/21/11
346,950,1,0,06/10/11,06/21/11,06/21/11,31,06/21/11
347,951,2,0,06/10/11,06/21/11,06/21/11,115,06/21/11
348,994,1,0,06/10/11,06/21/11,06/21/11,91,06/21/11
349,996,2,0,06/10/11,06/21/11,06/21/11,10,06/21/11
350,3,30,0,06/10/11,06/20/11,06/21/11,35,06/20/11
351,324,6,0,06/10/11,06/20/11,06/21/11,93,06/20/11
352,327,3,0,06/10/11,06/20/11,06/21/11,9,06/20/11
353,329,6,0,06/10/11,06/20/11,06/21/11,79,06/20/11
354,398,3,0,06/10/11,06/20/11,06/21/11,52,06/20/11
355,399,3,0,06/10/11,06/20/11,06/21/11,20,06/20/11
356,400,2,0,06/10/11,06/20/11,06/21/11,115,06/20/11
357,401,4,0,06/10/11,06/20/11,06/21/11,81,06/20/11
358,529,3,0,06/10/11,06/20/11,06/21/11,117,06/20/11
359,532,12,0,06/10/11,06/20/11,06/21/11,19,06/20/11
360,533,3,0,06/10/11,06/20/11,06/21/11,72,06/20/11
361,534,3,0,06/10/11,06/20/11,06/21/11,89,06/20/11
362,802,1,0,06/10/11,06/21/11,06/21/11,36,06/21/11
363,804,2,0,06/10/11,06/21/11,06/21/11,108,06/21/11
364,316,6,0,06/10/11,06/20/11,06/21/11,42,06/20/11
365,331,6,0,06/10/11,06/20/11,06/21/11,60,06/20/11
366,350,3,0,06/10/11,06/20/11,06/21/11,97,06/20/11
367,531,3,0,06/10/11,06/20/11,06/21/11,23,06/20/11
368,751,1,0,06/11/11,07/05/11,06/22/11,117,07/05/11
369,752,1,0,06/11/11,07/05/11,06/22/11,77,07/05/11
370,753,1,0,06/11/11,07/05/11,06/22/11,110,07/05/11
371,773,2,0,06/11/11,07/05/11,06/22/11,11,07/05/11
372,777,1,0,06/11/11,07/05/11,06/22/11,103,07/05/11
373,516,3,0,06/11/11,07/05/11,06/22/11,99,07/05/11
374,519,3,0,06/11/11,07/05/11,06/22/11,31,07/05/11
375,719,1,0,06/11/11,06/21/11,06/22/11,62,06/21/11
376,720,1,0,06/11/11,06/21/11,06/22/11,60,06/21/11
377,721,1,0,06/11/11,06/21/11,06/22/11,113,06/21/11
378,740,2,0,06/11/11,06/21/11,06/22/11,63,06/21/11
379,744,1,0,06/11/11,06/21/11,06/22/11,50,06/21/11
380,807,6,0,06/11/11,07/05/11,06/22/11,2,07/05/11
381,810,3,0,06/11/11,07/05/11,06/22/11,50,07/05/11
382,813,3,0,06/11/11,07/05/11,06/22/11,116,07/05/11
383,817,3,0,06/11/11,07/05/11,06/22/11,91,07/05/11
384,820,3,0,06/11/11,07/05/11,06/22/11,3,07/05/11
385,825,3,0,06/11/11,07/05/11,06/22/11,86,07/05/11
386,828,3,0,06/11/11,07/05/11,06/22/11,104,07/05/11
387,894,6,0,06/11/11,07/05/11,06/22/11,19,07/05/11
388,945,6,0,06/11/11,07/05/11,06/22/11,56,07/05/11
389,951,6,0,06/11/11,07/05/11,06/22/11,100,07/05/11
390,996,6,0,06/11/11,07/05/11,06/22/11,31,07/05/11
391,3,60,0,06/11/11,06/21/11,06/22/11,71,06/21/11
392,324,12,0,06/11/11,06/21/11,06/22/11,3,06/21/11
393,327,6,0,06/11/11,06/21/11,06/22/11,30,06/21/11
394,328,6,0,06/11/11,06/21/11,06/22/11,22,06/21/11
395,329,6,0,06/11/11,06/21/11,06/22/11,103,06/21/11
396,398,6,0,06/11/11,06/21/11,06/22/11,78,06/21/11
397,399,6,0,06/11/11,06/21/11,06/22/11,116,06/21/11
398,401,12,0,06/11/11,06/21/11,06/22/11,35,06/21/11
399,529,6,0,06/11/11,06/21/11,06/22/11,32,06/21/11
400,532,24,0,06/11/11,06/21/11,06/22/11,115,06/21/11
401,533,6,0,06/11/11,06/21/11,06/22/11,26,06/21/11
402,534,6,0,06/11/11,06/21/11,06/22/11,83,06/21/11
403,804,6,0,06/11/11,07/05/11,06/22/11,109,07/05/11
404,316,12,0,06/11/11,06/21/11,06/22/11,92,06/21/11
405,331,12,0,06/11/11,06/21/11,06/22/11,91,06/21/11
406,350,6,0,06/11/11,06/21/11,06/22/11,46,06/21/11
407,531,6,0,06/11/11,06/21/11,06/22/11,23,06/21/11
408,749,1,0,06/12/11,06/23/11,06/23/11,89,06/23/11
