host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
1,1,1,Ballard,98107,Condominium,Entire home/apt,2,1.0,1,1,145.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,5,1.0,2,4,129.00
0,1,1,Ballard,98107,House,Entire home/apt,6,1.5,3,4,197.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,120.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,1,200.00
0,1,1,Ballard,98117,Apartment,Entire home/apt,5,2.0,2,2,135.00
1,1,1,Ballard,98107,House,Private room,2,1.0,1,1,70.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,2,150.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,3,1.0,1,1,200.00
0,1,1,Ballard,98107,Townhouse,Private room,2,1.0,1,1,60.00
0,1,0,Ballard,98107,House,Entire home/apt,5,3.0,3,5,180.00
0,1,1,Ballard,98107,Apartment,Private room,3,1.0,1,1,69.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,3,1.0,0,1,90.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,80.00
0,1,0,Ballard,98107,Townhouse,Private room,2,1.5,1,1,65.00
1,1,1,Ballard,98107,House,Entire home/apt,5,1.5,2,2,150.00
0,1,1,Ballard,98107,House,Entire home/apt,6,1.5,2,3,195.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,1,149.00
1,1,1,Ballard,98107,House,Entire home/apt,5,3.0,2,2,224.00
0,1,1,Ballard,98107,House,Entire home/apt,3,1.0,2,2,115.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,55.00
1,1,1,Ballard,98107,House,Entire home/apt,8,2.5,4,5,338.00
1,1,1,Ballard,98107,House,Entire home/apt,2,1.0,1,1,79.00
1,1,1,Ballard,98107,House,Private room,2,1.0,1,1,80.00
0,1,0,Ballard,98107,Townhouse,Entire home/apt,2,1.0,0,1,85.00
1,1,0,Ballard,98107,House,Entire home/apt,2,1.0,1,1,80.00
1,1,0,Ballard,98107,Loft,Private room,3,1.0,1,1,49.00
0,1,1,Ballard,98107,House,Entire home/apt,4,2.5,3,2,100.00
0,1,0,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,79.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,0,1,75.00
1,1,1,Ballard,98107,House,Private room,2,1.0,1,1,57.00
0,1,0,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,2,99.00
0,1,1,Ballard,98107,Apartment,Private room,1,1.0,1,1,55.00
0,1,0,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,96.00
0,1,1,Ballard,98107,House,Entire home/apt,4,1.0,1,1,99.00
0,1,1,Ballard,98107,House,Entire home/apt,4,1.0,2,2,79.00
0,1,1,Ballard,98107,House,Entire home/apt,2,1.0,1,1,115.00
1,1,1,Ballard,98107,House,Entire home/apt,10,2.5,3,5,350.00
0,1,1,Ballard,98107,House,Entire home/apt,6,3.0,3,3,295.00
1,1,1,Ballard,98107,House,Private room,2,1.5,1,1,70.00
1,1,1,Ballard,98117,House,Private room,2,1.0,1,1,53.00
0,1,1,Ballard,98107,House,Entire home/apt,4,1.0,2,2,110.00
0,1,0,Ballard,98107,House,Entire home/apt,4,1.0,2,2,225.00
0,1,1,Ballard,98107,House,Private room,2,1.5,1,1,35.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,55.00
0,1,1,Ballard,98107,Townhouse,Private room,2,1.5,1,1,45.00
0,1,0,Ballard,98107,House,Private room,2,1.0,1,1,79.00
0,1,1,Ballard,98107,House,Entire home/apt,8,1.0,2,6,133.00
1,1,0,Ballard,98107,Apartment,Private room,2,1.0,1,1,65.00
0,1,1,Ballard,98107,Apartment,Private room,1,2.0,1,1,61.00
0,1,1,Ballard,98107,House,Entire home/apt,4,2.0,3,3,200.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,70.00
0,1,1,Ballard,98107,House,Private room,1,1.0,1,1,52.00
0,1,0,Ballard,98107,Apartment,Private room,2,1.0,1,1,50.00
0,1,1,Ballard,98107,Townhouse,Entire home/apt,8,2.5,4,4,275.00
1,1,1,Ballard,98107,House,Entire home/apt,2,1.0,1,1,149.00
0,1,0,Ballard,98107,House,Entire home/apt,8,2.0,2,4,199.00
0,1,0,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,89.00
0,1,1,Ballard,,House,Entire home/apt,10,2.0,3,3,225.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,3,1.0,1,2,120.00
1,1,0,Ballard,98107,House,Entire home/apt,2,1.0,0,1,85.00
0,1,1,Ballard,98107,House,Private room,4,1.5,1,2,80.00
0,1,1,Ballard,98107,House,Entire home/apt,3,1.0,1,3,89.00
0,1,1,Ballard,98107,House,Entire home/apt,4,1.0,1,1,99.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,3,110.00
0,1,1,Ballard,98107,House,Entire home/apt,6,1.0,2,3,180.00
0,1,0,Ballard,98107,Apartment,Entire home/apt,4,1.0,2,2,150.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,2,70.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,70.00
0,1,1,Ballard,98107,House,Private room,1,1.0,1,1,75.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,2,2,85.00
1,1,1,Ballard,98107,House,Private room,2,1.0,1,1,80.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,3,1.0,1,1,90.00
1,1,1,Ballard,98107,House,Private room,2,1.0,1,1,80.00
0,1,1,Ballard,98107,Camper/RV,Entire home/apt,2,1.0,0,1,75.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,3,1.0,2,2,80.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,70.00
0,1,1,Ballard,98107,House,Entire home/apt,8,3.5,4,4,350.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,0,1,95.00
1,1,1,Ballard,98107,House,Private room,2,1.0,1,1,90.00
0,1,1,Ballard,98107,House,Entire home/apt,12,2.0,4,5,435.00
0,1,1,Ballard,98107,House,Entire home/apt,6,1.5,3,3,250.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,65.00
1,1,1,Ballard,98107,House,Entire home/apt,3,1.0,1,1,95.00
0,1,1,Ballard,98107,Townhouse,Private room,3,1.0,1,2,110.00
0,1,1,Ballard,98107,House,Private room,3,1.0,1,2,50.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,1,95.00
0,1,0,Ballard,98107,House,Entire home/apt,2,1.0,1,1,100.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,2,89.00
1,1,1,Ballard,98107,House,Entire home/apt,5,1.0,1,3,116.00
0,1,1,Ballard,98107,House,Entire home/apt,4,1.0,1,2,150.00
0,1,1,Ballard,98107,House,Entire home/apt,8,2.0,3,3,275.00
1,1,1,Ballard,98107,House,Entire home/apt,6,2.0,3,3,180.00
1,1,1,Ballard,98107,House,Entire home/apt,2,1.0,1,1,97.00
0,1,0,Ballard,98107,Townhouse,Entire home/apt,5,3.0,2,2,200.00
1,1,1,Queen Anne,98109,House,Private room,2,1.0,1,1,120.00
0,1,1,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,109.00
0,1,1,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,115.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,199.00
0,1,0,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,150.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,100.00
1,1,1,Queen Anne,98109,House,Entire home/apt,6,2.5,3,4,250.00
0,1,1,Queen Anne,98109,Apartment,Shared room,2,1.0,1,1,39.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,1,69.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,145.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,5,1.0,1,4,98.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,1,130.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,85.00
0,1,1,Queen Anne,98109,Boat,Entire home/apt,1,1.0,1,1,85.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,73.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,150.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,3,1.0,1,1,85.00
0,1,1,Queen Anne,98109,House,Entire home/apt,6,2.0,3,3,190.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,68.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.5,1,1,149.00
0,1,1,Queen Anne,98109,House,Entire home/apt,10,2.0,2,5,349.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,105.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.5,1,2,145.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,150.00
0,1,1,Queen Anne,98109,Condominium,Entire home/apt,4,2.0,2,1,275.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,2,3,165.00
0,1,0,Queen Anne,98109,House,Entire home/apt,5,2.0,3,3,196.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,195.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,4,2.0,2,2,200.00
1,1,1,Queen Anne,98109,House,Private room,2,1.5,1,1,90.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,1,100.00
0,1,1,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,125.00
0,1,1,Queen Anne,98109,House,Entire home/apt,8,1.5,3,5,250.00
1,1,1,Queen Anne,98109,House,Private room,2,1.5,1,1,130.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,209.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,110.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,90.00
0,1,1,Queen Anne,98109,House,Private room,2,1.0,1,1,90.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,130.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,175.00
1,1,1,Queen Anne,98109,House,Entire home/apt,8,3.5,3,3,749.00
0,1,1,Queen Anne,98109,Condominium,Entire home/apt,4,2.0,2,2,115.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.5,2,2,165.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,109.00
0,1,0,Queen Anne,98119,Apartment,Entire home/apt,2,1.0,0,1,80.00
1,1,1,Queen Anne,98109,House,Entire home/apt,6,2.0,3,4,285.00
0,1,1,Queen Anne,98109,House,Private room,2,1.0,1,1,80.00
0,1,1,Queen Anne,98109,Condominium,Private room,1,1.0,1,1,75.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,68.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,85.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,125.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,110.00
0,1,1,Queen Anne,98109,House,Entire home/apt,7,4.0,3,3,600.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,2.0,2,2,235.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,75.00
0,1,1,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,95.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,103.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,120.00
0,1,1,Queen Anne,98109,House,Entire home/apt,2,1.0,1,1,95.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,5,2.5,2,2,143.00
1,1,1,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,99.00
1,1,1,Queen Anne,98109,House,Entire home/apt,2,1.0,1,1,142.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,2,150.00
0,1,1,Queen Anne,98109,House,Entire home/apt,6,2.0,3,3,295.00
0,1,1,Queen Anne,98109,House,Entire home/apt,6,3.5,4,4,335.00
0,1,0,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,60.00
0,1,1,Queen Anne,98109,House,Entire home/apt,6,1.5,3,3,250.00
1,1,1,Queen Anne,98109,House,Entire home/apt,8,3.0,4,5,499.00
0,1,1,Queen Anne,98109,House,Entire home/apt,8,2.0,3,4,350.00
0,1,1,Queen Anne,98109,Bungalow,Entire home/apt,3,1.0,1,2,156.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,2,3,200.00
0,1,0,Queen Anne,98119,Apartment,Entire home/apt,4,2.0,2,2,180.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,3,1.0,1,1,103.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,1,1,99.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,3,1.0,1,1,94.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,1,160.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,129.00
0,1,1,Queen Anne,98109,Loft,Entire home/apt,4,1.0,1,2,219.00
0,1,0,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,1,91.00
0,1,1,Queen Anne,98109,Apartment,Entire home/apt,4,1.0,1,2,75.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,0,1,99.00
1,1,1,Other neighborhoods,98103,House,Entire home/apt,5,1.5,3,3,300.00
0,1,0,Other neighborhoods,98105,House,Entire home/apt,5,2.0,3,3,150.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,6,1.0,2,3,149.00
0,1,1,Other neighborhoods,98103,Loft,Entire home/apt,2,1.0,0,1,75.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,3,1.0,1,2,95.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,1,1,100.00
0,1,0,Other neighborhoods,98103,House,Entire home/apt,6,2.0,3,2,250.00
1,1,1,Other neighborhoods,98103,House,Private room,2,2.0,1,1,105.00
0,1,1,Other neighborhoods,98105,House,Private room,2,1.0,1,1,74.00
1,1,1,Other neighborhoods,98103,House,Entire home/apt,2,1.0,1,1,140.00
1,1,0,Other neighborhoods,98105,Apartment,Entire home/apt,4,1.0,1,1,130.00
0,1,0,Other neighborhoods,98105,Apartment,Entire home/apt,2,1.0,1,1,110.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,8,2.0,4,4,199.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,6,1.5,2,3,209.00
1,1,1,Other neighborhoods,98103,House,Entire home/apt,4,1.0,0,2,100.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,4,1.0,1,1,110.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,1,2,104.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,4,2.0,2,2,200.00
0,1,0,Other neighborhoods,98103,House,Entire home/apt,4,1.0,0,2,99.00
1,1,1,Other neighborhoods,98103,House,Private room,2,1.0,1,1,90.00
1,1,1,Other neighborhoods,98105,Apartment,Entire home/apt,6,1.0,2,3,135.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,6,1.0,2,3,122.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,0,1,80.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,4,1.0,2,2,158.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,4,1.0,1,1,90.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,3,1.0,1,2,100.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,4,1.0,1,2,89.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,4,1.0,2,2,125.00
0,1,1,Other neighborhoods,98103,Apartment,Shared room,2,1.0,1,1,42.00
1,1,1,Other neighborhoods,98103,House,Private room,2,1.0,1,1,65.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,4,1.0,1,2,100.00
0,1,1,Other neighborhoods,98105,House,Private room,1,1.0,1,1,40.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,6,1.0,3,3,185.00
0,1,0,Other neighborhoods,98103,Apartment,Private room,2,1.0,1,2,40.00
0,1,0,Other neighborhoods,98105,Apartment,Private room,2,1.5,1,1,70.00
0,1,1,Other neighborhoods,98103,House,Shared room,1,1.0,1,1,40.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,1,1,70.00
0,1,0,Other neighborhoods,98103,Apartment,Entire home/apt,4,1.0,1,1,110.00
1,1,0,Other neighborhoods,98103,Apartment,Entire home/apt,4,1.0,2,3,99.00
0,1,1,Other neighborhoods,98103,Boat,Entire home/apt,6,3.0,3,3,680.00
0,1,1,Other neighborhoods,98105,House,Entire home/apt,6,1.5,3,4,195.00
1,1,1,Other neighborhoods,98103,House,Private room,2,2.0,1,1,55.00
0,1,0,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,1,1,90.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,4,1.0,1,1,119.00
1,1,1,Other neighborhoods,98115,House,Entire home/apt,5,2.0,3,3,175.00
1,1,1,Other neighborhoods,98103,House,Private room,2,1.0,1,1,65.00
0,1,1,Other neighborhoods,98103,Apartment,Private room,2,1.0,1,1,75.00
0,1,1,Other neighborhoods,98103,House,Entire home/apt,4,1.0,2,2,126.00
0,1,1,Other neighborhoods,98103,House,Private room,2,1.0,1,1,70.00
1,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,1,1,90.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,1,1,129.00
0,1,1,Other neighborhoods,98105,House,Entire home/apt,12,2.0,5,6,225.00
0,1,1,Other neighborhoods,98103,House,Shared room,1,1.0,1,1,40.00
0,1,1,Other neighborhoods,98103,House,Shared room,1,1.0,1,1,50.00
0,1,1,Other neighborhoods,98103,House,Shared room,1,1.0,1,1,40.00
0,1,1,Other neighborhoods,98103,House,Shared room,1,1.0,1,1,40.00
1,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,4,1.0,2,2,95.00
0,1,1,Other neighborhoods,98103,Apartment,Entire home/apt,6,1.0,2,4,175.00
0,1,1,Other neighborhoods,98105,House,Entire home/apt,6,1.0,2,4,160.00
0,1,1,Other neighborhoods,98103,House,Shared room,1,1.0,1,1,40.00
0,1,1,Other neighborhoods,98103,House,Shared room,1,1.0,1,1,40.00
1,1,0,Other neighborhoods,98103,Apartment,Entire home/apt,2,1.0,1,1,120.00
1,1,1,Other neighborhoods,98103,House,Entire home/apt,4,1.0,1,2,66.00
0,1,1,Other neighborhoods,98103,House,Private room,2,1.0,1,1,55.00
0,1,0,Other neighborhoods,98103,House,Entire home/apt,7,3.0,4,5,350.00
